2018-05-17_21:32:41:554- Subscribing to topicmqtt-roundtrip-qos1-1MByte-1000-cycles
2018-05-17_21:32:41:554- subscribe returned (4, None)
2018-05-17_21:32:41:987- Client disconnected from broker
2018-05-17_21:32:43:636- Client disconnected from broker
2018-05-17_21:32:45:075- Client disconnected from broker
2018-05-17_21:32:46:113- Client disconnected from broker
2018-05-17_21:32:47:151- Client disconnected from broker
2018-05-17_21:32:48:851- Client disconnected from broker
2018-05-17_21:32:50:271- Client disconnected from broker
2018-05-17_21:32:51:367- Client disconnected from broker
2018-05-17_21:32:53:027- Client disconnected from broker
2018-05-17_21:32:54:419- Client disconnected from broker
2018-05-17_21:32:55:507- Client disconnected from broker
2018-05-17_21:32:57:187- Client disconnected from broker
2018-05-17_21:32:58:559- Client disconnected from broker
2018-05-17_21:32:59:743- Client disconnected from broker
2018-05-17_21:33:01:367- Client disconnected from broker
2018-05-17_21:33:02:707- Client disconnected from broker
2018-05-17_21:33:03:931- Client disconnected from broker
2018-05-17_21:33:05:559- Client disconnected from broker
2018-05-17_21:33:06:887- Client disconnected from broker
2018-05-17_21:33:08:123- Client disconnected from broker
2018-05-17_21:33:09:703- Client disconnected from broker
2018-05-17_21:33:11:059- Client disconnected from broker
2018-05-17_21:33:12:303- Client disconnected from broker
2018-05-17_21:33:13:847- Client disconnected from broker
2018-05-17_21:33:15:243- Client disconnected from broker
2018-05-17_21:33:16:479- Client disconnected from broker
2018-05-17_21:33:17:999- Client disconnected from broker
2018-05-17_21:33:19:410- Client disconnected from broker
2018-05-17_21:33:20:621- Client disconnected from broker
2018-05-17_21:33:22:171- Client disconnected from broker
2018-05-17_21:33:23:596- Client disconnected from broker
2018-05-17_21:33:24:791- Client disconnected from broker
2018-05-17_21:33:26:355- Client disconnected from broker
2018-05-17_21:33:27:763- Client disconnected from broker
2018-05-17_21:33:28:979- Client disconnected from broker
2018-05-17_21:33:30:571- Client disconnected from broker
2018-05-17_21:33:31:931- Client disconnected from broker
2018-05-17_21:33:33:130- Client disconnected from broker
2018-05-17_21:33:34:747- Client disconnected from broker
2018-05-17_21:33:36:095- Client disconnected from broker
2018-05-17_21:33:37:263- Client disconnected from broker
2018-05-17_21:33:38:915- Client disconnected from broker
2018-05-17_21:33:40:283- Client disconnected from broker
2018-05-17_21:33:41:467- Client disconnected from broker
2018-05-17_21:33:43:111- Client disconnected from broker
2018-05-17_21:33:44:463- Client disconnected from broker
2018-05-17_21:33:45:670- Client disconnected from broker
2018-05-17_21:33:47:295- Client disconnected from broker
2018-05-17_21:33:48:619- Client disconnected from broker
2018-05-17_21:33:49:863- Client disconnected from broker
2018-05-17_21:33:51:495- Client disconnected from broker
2018-05-17_21:33:52:803- Client disconnected from broker
2018-05-17_21:33:54:051- Client disconnected from broker
2018-05-17_21:33:55:679- Client disconnected from broker
2018-05-17_21:33:56:991- Client disconnected from broker
2018-05-17_21:33:58:247- Client disconnected from broker
2018-05-17_21:33:59:907- Client disconnected from broker
2018-05-17_21:34:01:159- Client disconnected from broker
2018-05-17_21:34:02:743- Client disconnected from broker
2018-05-17_21:34:04:119- Client disconnected from broker
2018-05-17_21:34:05:399- Client disconnected from broker
2018-05-17_21:34:06:995- Client disconnected from broker
2018-05-17_21:34:08:327- Client disconnected from broker
2018-05-17_21:34:09:619- Client disconnected from broker
2018-05-17_21:34:11:202- Client disconnected from broker
2018-05-17_21:34:12:543- Client disconnected from broker
2018-05-17_21:34:13:827- Client disconnected from broker
2018-05-17_21:34:15:455- Client disconnected from broker
2018-05-17_21:34:16:711- Client disconnected from broker
2018-05-17_21:34:18:011- Client disconnected from broker
2018-05-17_21:34:19:667- Client disconnected from broker
2018-05-17_21:34:20:927- Client disconnected from broker
2018-05-17_21:34:22:179- Client disconnected from broker
2018-05-17_21:34:23:859- Client disconnected from broker
2018-05-17_21:34:25:107- Client disconnected from broker
2018-05-17_21:34:26:383- Client disconnected from broker
2018-05-17_21:34:28:079- Client disconnected from broker
2018-05-17_21:34:29:327- Client disconnected from broker
2018-05-17_21:34:30:591- Client disconnected from broker
2018-05-17_21:34:32:343- Client disconnected from broker
2018-05-17_21:34:33:531- Client disconnected from broker
2018-05-17_21:34:34:831- Client disconnected from broker
2018-05-17_21:34:36:563- Client disconnected from broker
2018-05-17_21:34:37:707- Client disconnected from broker
2018-05-17_21:34:39:023- Client disconnected from broker
2018-05-17_21:34:40:767- Client disconnected from broker
2018-05-17_21:34:41:919- Client disconnected from broker
2018-05-17_21:34:43:227- Client disconnected from broker
2018-05-17_21:34:44:959- Client disconnected from broker
2018-05-17_21:34:46:135- Client disconnected from broker
2018-05-17_21:34:47:431- Client disconnected from broker
2018-05-17_21:34:49:179- Client disconnected from broker
2018-05-17_21:34:50:343- Client disconnected from broker
2018-05-17_21:34:51:635- Client disconnected from broker
2018-05-17_21:34:53:383- Client disconnected from broker
2018-05-17_21:34:54:551- Client disconnected from broker
2018-05-17_21:34:55:791- Client disconnected from broker
2018-05-17_21:34:57:583- Client disconnected from broker
2018-05-17_21:34:58:743- Client disconnected from broker
2018-05-17_21:35:00:023- Client disconnected from broker
2018-05-17_21:35:01:799- Client disconnected from broker
2018-05-17_21:35:02:959- Client disconnected from broker
2018-05-17_21:35:04:243- Client disconnected from broker
2018-05-17_21:35:06:031- Client disconnected from broker
2018-05-17_21:35:07:130- Client disconnected from broker
2018-05-17_21:35:08:455- Client disconnected from broker
2018-05-17_21:35:10:199- Client disconnected from broker
2018-05-17_21:35:11:307- Client disconnected from broker
2018-05-17_21:35:12:631- Client disconnected from broker
2018-05-17_21:35:14:431- Client disconnected from broker
2018-05-17_21:35:15:522- Client disconnected from broker
2018-05-17_21:35:16:799- Client disconnected from broker
2018-05-17_21:35:18:619- Client disconnected from broker
