2018-05-17_21:26:46:097- Subscribing to topicmqtt-roundtrip-qos1-10MByte-1000-cycles
2018-05-17_21:26:46:097- subscribe returned (0, 1)
2018-05-17_21:26:46:561- Client disconnected from broker
2018-05-17_21:26:48:627- Client disconnected from broker
2018-05-17_21:26:52:290- Client disconnected from broker
2018-05-17_21:26:54:515- Client disconnected from broker
2018-05-17_21:26:56:544- Client disconnected from broker
2018-05-17_21:26:59:345- Client disconnected from broker
2018-05-17_21:27:01:564- Client disconnected from broker
2018-05-17_21:27:03:883- Client disconnected from broker
2018-05-17_21:27:05:940- Client disconnected from broker
2018-05-17_21:27:08:044- Client disconnected from broker
2018-05-17_21:27:09:308- Client disconnected from broker
2018-05-17_21:27:11:133- Client disconnected from broker
2018-05-17_21:27:12:365- Client disconnected from broker
2018-05-17_21:27:14:208- Client disconnected from broker
2018-05-17_21:27:15:422- Client disconnected from broker
2018-05-17_21:27:31:726- Client disconnected from broker
2018-05-17_21:27:33:770- Client disconnected from broker
2018-05-17_21:27:35:692- Client disconnected from broker
2018-05-17_21:27:36:811- Client disconnected from broker
2018-05-17_21:27:38:929- Client disconnected from broker
2018-05-17_21:27:40:961- Client disconnected from broker
2018-05-17_21:27:41:999- Client disconnected from broker
2018-05-17_21:27:44:049- Client disconnected from broker
2018-05-17_21:27:45:071- Client disconnected from broker
2018-05-17_21:27:47:931- Client disconnected from broker
2018-05-17_21:27:49:534- Client disconnected from broker
2018-05-17_21:27:51:007- Client disconnected from broker
2018-05-17_21:27:52:618- Client disconnected from broker
2018-05-17_21:27:54:070- Client disconnected from broker
2018-05-17_21:27:56:802- Client disconnected from broker
2018-05-17_21:27:59:016- Client disconnected from broker
2018-05-17_21:28:01:131- Client disconnected from broker
2018-05-17_21:28:03:006- Client disconnected from broker
2018-05-17_21:28:06:207- Client disconnected from broker
2018-05-17_21:28:09:286- Client disconnected from broker
2018-05-17_21:28:10:305- Client disconnected from broker
2018-05-17_21:28:11:320- Client disconnected from broker
2018-05-17_21:28:12:351- Client disconnected from broker
2018-05-17_21:28:13:615- Client disconnected from broker
2018-05-17_21:28:15:392- Client disconnected from broker
2018-05-17_21:28:16:545- Client disconnected from broker
2018-05-17_21:28:17:677- Client disconnected from broker
2018-05-17_21:28:19:491- Client disconnected from broker
2018-05-17_21:28:20:671- Client disconnected from broker
2018-05-17_21:28:22:571- Client disconnected from broker
2018-05-17_21:28:23:703- Client disconnected from broker
2018-05-17_21:28:24:779- Client disconnected from broker
2018-05-17_21:28:26:695- Client disconnected from broker
2018-05-17_21:28:27:831- Client disconnected from broker
2018-05-17_21:28:29:071- Client disconnected from broker
2018-05-17_21:28:30:799- Client disconnected from broker
2018-05-17_21:28:31:940- Client disconnected from broker
2018-05-17_21:28:33:187- Client disconnected from broker
2018-05-17_21:28:34:920- Client disconnected from broker
2018-05-17_21:28:36:043- Client disconnected from broker
2018-05-17_21:28:37:277- Client disconnected from broker
2018-05-17_21:28:38:367- Client disconnected from broker
2018-05-17_21:28:40:149- Client disconnected from broker
2018-05-17_21:28:41:395- Client disconnected from broker
2018-05-17_21:28:42:477- Client disconnected from broker
2018-05-17_21:28:43:839- Client disconnected from broker
2018-05-17_21:28:45:491- Client disconnected from broker
2018-05-17_21:28:46:575- Client disconnected from broker
2018-05-17_21:28:47:948- Client disconnected from broker
2018-05-17_21:28:49:571- Client disconnected from broker
2018-05-17_21:28:50:687- Client disconnected from broker
2018-05-17_21:28:52:063- Client disconnected from broker
2018-05-17_21:28:53:135- Client disconnected from broker
2018-05-17_21:28:54:847- Client disconnected from broker
2018-05-17_21:28:56:179- Client disconnected from broker
2018-05-17_21:28:57:211- Client disconnected from broker
2018-05-17_21:28:58:689- Client disconnected from broker
2018-05-17_21:29:00:259- Client disconnected from broker
2018-05-17_21:29:01:771- Client disconnected from broker
2018-05-17_21:29:03:300- Client disconnected from broker
2018-05-17_21:29:04:826- Client disconnected from broker
2018-05-17_21:29:05:847- Client disconnected from broker
2018-05-17_21:29:07:403- Client disconnected from broker
2018-05-17_21:29:08:898- Client disconnected from broker
2018-05-17_21:29:09:939- Client disconnected from broker
2018-05-17_21:29:11:499- Client disconnected from broker
2018-05-17_21:29:12:999- Client disconnected from broker
2018-05-17_21:29:14:083- Client disconnected from broker
2018-05-17_21:29:15:243- Client disconnected from broker
2018-05-17_21:29:17:068- Client disconnected from broker
2018-05-17_21:29:18:215- Client disconnected from broker
2018-05-17_21:29:20:124- Client disconnected from broker
2018-05-17_21:29:21:267- Client disconnected from broker
2018-05-17_21:29:22:443- Client disconnected from broker
2018-05-17_21:29:24:231- Client disconnected from broker
2018-05-17_21:29:25:415- Client disconnected from broker
2018-05-17_21:29:26:579- Client disconnected from broker
2018-05-17_21:29:28:347- Client disconnected from broker
2018-05-17_21:29:29:559- Client disconnected from broker
2018-05-17_21:29:30:712- Client disconnected from broker
2018-05-17_21:29:32:009- Client disconnected from broker
2018-05-17_21:29:33:639- Client disconnected from broker
2018-05-17_21:29:34:847- Client disconnected from broker
2018-05-17_21:29:36:127- Client disconnected from broker
2018-05-17_21:29:37:759- Client disconnected from broker
2018-05-17_21:29:38:975- Client disconnected from broker
2018-05-17_21:29:40:215- Client disconnected from broker
2018-05-17_21:29:41:327- Client disconnected from broker
2018-05-17_21:29:43:079- Client disconnected from broker
2018-05-17_21:29:44:363- Client disconnected from broker
2018-05-17_21:29:45:431- Client disconnected from broker
2018-05-17_21:29:46:819- Client disconnected from broker
2018-05-17_21:29:48:455- Client disconnected from broker
2018-05-17_21:29:49:483- Client disconnected from broker
2018-05-17_21:29:51:535- Client disconnected from broker
2018-05-17_21:29:52:567- Client disconnected from broker
2018-05-17_21:29:53:979- Client disconnected from broker
2018-05-17_21:29:55:643- Client disconnected from broker
2018-05-17_21:29:56:703- Client disconnected from broker
2018-05-17_21:29:58:059- Client disconnected from broker
2018-05-17_21:29:59:087- Client disconnected from broker
2018-05-17_21:30:00:799- Client disconnected from broker
2018-05-17_21:30:02:155- Client disconnected from broker
2018-05-17_21:30:03:823- Client disconnected from broker
2018-05-17_21:30:04:883- Client disconnected from broker
2018-05-17_21:30:06:267- Client disconnected from broker
2018-05-17_21:30:07:944- Client disconnected from broker
2018-05-17_21:30:09:335- Client disconnected from broker
2018-05-17_21:30:11:023- Client disconnected from broker
2018-05-17_21:30:12:063- Client disconnected from broker
2018-05-17_21:30:13:459- Client disconnected from broker
2018-05-17_21:30:15:135- Client disconnected from broker
2018-05-17_21:30:16:179- Client disconnected from broker
2018-05-17_21:30:17:595- Client disconnected from broker
2018-05-17_21:30:19:239- Client disconnected from broker
2018-05-17_21:30:20:315- Client disconnected from broker
2018-05-17_21:30:21:647- Client disconnected from broker
2018-05-17_21:30:23:355- Client disconnected from broker
2018-05-17_21:30:24:419- Client disconnected from broker
2018-05-17_21:30:25:731- Client disconnected from broker
2018-05-17_21:30:27:467- Client disconnected from broker
2018-05-17_21:30:28:519- Client disconnected from broker
2018-05-17_21:30:29:839- Client disconnected from broker
2018-05-17_21:30:30:931- Client disconnected from broker
2018-05-17_21:30:32:592- Client disconnected from broker
2018-05-17_21:30:33:975- Client disconnected from broker
2018-05-17_21:30:35:016- Client disconnected from broker
2018-05-17_21:30:36:543- Client disconnected from broker
2018-05-17_21:30:38:079- Client disconnected from broker
2018-05-17_21:30:39:639- Client disconnected from broker
2018-05-17_21:30:41:131- Client disconnected from broker
2018-05-17_21:30:42:475- Client disconnected from broker
2018-05-17_21:30:43:747- Client disconnected from broker
2018-05-17_21:30:45:299- Client disconnected from broker
2018-05-17_21:30:46:647- Client disconnected from broker
2018-05-17_21:30:47:919- Client disconnected from broker
2018-05-17_21:30:49:439- Client disconnected from broker
2018-05-17_21:30:50:827- Client disconnected from broker
2018-05-17_21:30:52:076- Client disconnected from broker
2018-05-17_21:30:53:366- Client disconnected from broker
2018-05-17_21:30:54:955- Client disconnected from broker
2018-05-17_21:30:56:215- Client disconnected from broker
2018-05-17_21:30:57:543- Client disconnected from broker
2018-05-17_21:30:59:155- Client disconnected from broker
2018-05-17_21:31:00:387- Client disconnected from broker
2018-05-17_21:31:01:703- Client disconnected from broker
2018-05-17_21:31:03:323- Client disconnected from broker
2018-05-17_21:31:04:575- Client disconnected from broker
2018-05-17_21:31:05:859- Client disconnected from broker
2018-05-17_21:31:07:514- Client disconnected from broker
2018-05-17_21:31:08:723- Client disconnected from broker
2018-05-17_21:31:10:025- Client disconnected from broker
2018-05-17_21:31:11:699- Client disconnected from broker
2018-05-17_21:31:12:899- Client disconnected from broker
2018-05-17_21:31:14:213- Client disconnected from broker
2018-05-17_21:31:15:869- Client disconnected from broker
2018-05-17_21:31:17:071- Client disconnected from broker
2018-05-17_21:31:18:411- Client disconnected from broker
2018-05-17_21:31:20:056- Client disconnected from broker
2018-05-17_21:31:21:263- Client disconnected from broker
2018-05-17_21:31:22:576- Client disconnected from broker
2018-05-17_21:31:24:251- Client disconnected from broker
2018-05-17_21:31:25:427- Client disconnected from broker
2018-05-17_21:31:26:779- Client disconnected from broker
2018-05-17_21:31:28:423- Client disconnected from broker
2018-05-17_21:31:29:599- Client disconnected from broker
2018-05-17_21:31:30:967- Client disconnected from broker
2018-05-17_21:31:32:615- Client disconnected from broker
2018-05-17_21:31:33:767- Client disconnected from broker
2018-05-17_21:31:35:155- Client disconnected from broker
2018-05-17_21:31:36:806- Client disconnected from broker
2018-05-17_21:31:37:971- Client disconnected from broker
2018-05-17_21:31:39:339- Client disconnected from broker
2018-05-17_21:31:40:991- Client disconnected from broker
2018-05-17_21:31:42:173- Client disconnected from broker
2018-05-17_21:31:43:531- Client disconnected from broker
2018-05-17_21:31:45:187- Client disconnected from broker
2018-05-17_21:31:46:351- Client disconnected from broker
