2018-05-17_21:23:43:753- Subscribing to topicmqtt-roundtrip-qos1-10MByte-100-cycles
2018-05-17_21:23:43:753- subscribe returned (4, None)
2018-05-17_21:23:45:766- Client disconnected from broker
2018-05-17_21:23:47:801- Client disconnected from broker
2018-05-17_21:23:49:848- Client disconnected from broker
2018-05-17_21:23:51:893- Client disconnected from broker
2018-05-17_21:23:53:929- Client disconnected from broker
2018-05-17_21:23:55:967- Client disconnected from broker
2018-05-17_21:23:58:016- Client disconnected from broker
2018-05-17_21:24:00:806- Client disconnected from broker
2018-05-17_21:24:02:864- Client disconnected from broker
2018-05-17_21:24:04:918- Client disconnected from broker
2018-05-17_21:24:06:978- Client disconnected from broker
2018-05-17_21:24:09:317- Client disconnected from broker
2018-05-17_21:24:11:363- Client disconnected from broker
2018-05-17_21:24:13:423- Client disconnected from broker
2018-05-17_21:24:15:483- Client disconnected from broker
2018-05-17_21:24:17:537- Client disconnected from broker
2018-05-17_21:24:19:591- Client disconnected from broker
2018-05-17_21:24:21:682- Client disconnected from broker
2018-05-17_21:24:23:738- Client disconnected from broker
2018-05-17_21:24:25:793- Client disconnected from broker
2018-05-17_21:24:27:919- Client disconnected from broker
2018-05-17_21:24:29:968- Client disconnected from broker
2018-05-17_21:24:32:028- Client disconnected from broker
2018-05-17_21:24:34:157- Client disconnected from broker
2018-05-17_21:24:36:203- Client disconnected from broker
2018-05-17_21:24:38:257- Client disconnected from broker
2018-05-17_21:24:40:317- Client disconnected from broker
2018-05-17_21:24:42:371- Client disconnected from broker
2018-05-17_21:24:44:425- Client disconnected from broker
2018-05-17_21:24:46:479- Client disconnected from broker
2018-05-17_21:24:48:550- Client disconnected from broker
2018-05-17_21:24:50:605- Client disconnected from broker
2018-05-17_21:24:52:653- Client disconnected from broker
2018-05-17_21:24:54:713- Client disconnected from broker
2018-05-17_21:24:56:767- Client disconnected from broker
2018-05-17_21:24:58:827- Client disconnected from broker
2018-05-17_21:25:00:889- Client disconnected from broker
2018-05-17_21:25:02:947- Client disconnected from broker
2018-05-17_21:25:05:007- Client disconnected from broker
2018-05-17_21:25:07:126- Client disconnected from broker
2018-05-17_21:25:09:176- Client disconnected from broker
2018-05-17_21:25:11:236- Client disconnected from broker
2018-05-17_21:25:13:363- Client disconnected from broker
2018-05-17_21:25:15:422- Client disconnected from broker
2018-05-17_21:25:17:482- Client disconnected from broker
2018-05-17_21:25:19:600- Client disconnected from broker
2018-05-17_21:25:21:651- Client disconnected from broker
2018-05-17_21:25:23:705- Client disconnected from broker
2018-05-17_21:25:25:838- Client disconnected from broker
2018-05-17_21:25:27:897- Client disconnected from broker
2018-05-17_21:25:29:951- Client disconnected from broker
2018-05-17_21:25:32:075- Client disconnected from broker
2018-05-17_21:25:34:132- Client disconnected from broker
2018-05-17_21:25:36:180- Client disconnected from broker
2018-05-17_21:25:38:235- Client disconnected from broker
2018-05-17_21:25:40:294- Client disconnected from broker
2018-05-17_21:25:42:359- Client disconnected from broker
2018-05-17_21:25:44:419- Client disconnected from broker
2018-05-17_21:25:46:479- Client disconnected from broker
2018-05-17_21:25:48:533- Client disconnected from broker
2018-05-17_21:25:50:588- Client disconnected from broker
2018-05-17_21:25:52:703- Client disconnected from broker
2018-05-17_21:25:54:757- Client disconnected from broker
2018-05-17_21:25:56:817- Client disconnected from broker
2018-05-17_21:25:58:943- Client disconnected from broker
2018-05-17_21:26:01:003- Client disconnected from broker
2018-05-17_21:26:03:052- Client disconnected from broker
2018-05-17_21:26:05:106- Client disconnected from broker
2018-05-17_21:26:07:160- Client disconnected from broker
2018-05-17_21:26:09:359- Client disconnected from broker
2018-05-17_21:26:11:418- Client disconnected from broker
2018-05-17_21:26:13:467- Client disconnected from broker
2018-05-17_21:26:15:516- Client disconnected from broker
2018-05-17_21:26:17:570- Client disconnected from broker
2018-05-17_21:26:19:624- Client disconnected from broker
2018-05-17_21:26:21:684- Client disconnected from broker
2018-05-17_21:26:23:756- Client disconnected from broker
2018-05-17_21:26:25:809- Client disconnected from broker
2018-05-17_21:26:27:863- Client disconnected from broker
2018-05-17_21:26:29:993- Client disconnected from broker
2018-05-17_21:26:32:049- Client disconnected from broker
2018-05-17_21:26:34:104- Client disconnected from broker
2018-05-17_21:26:36:230- Client disconnected from broker
2018-05-17_21:26:38:284- Client disconnected from broker
2018-05-17_21:26:40:344- Client disconnected from broker
2018-05-17_21:26:42:468- Client disconnected from broker
