2018-05-17_21:35:38:766- Subscribing to topicmqtt-roundtrip-qos2-1MByte-1000-cycles
2018-05-17_21:35:38:767- subscribe returned (4, None)
2018-05-17_21:35:39:173- Client disconnected from broker
2018-05-17_21:35:40:823- Client disconnected from broker
2018-05-17_21:35:42:171- Client disconnected from broker
2018-05-17_21:35:43:335- Client disconnected from broker
2018-05-17_21:35:44:971- Client disconnected from broker
2018-05-17_21:35:46:331- Client disconnected from broker
2018-05-17_21:35:47:531- Client disconnected from broker
2018-05-17_21:35:49:147- Client disconnected from broker
2018-05-17_21:35:50:487- Client disconnected from broker
2018-05-17_21:35:51:719- Client disconnected from broker
2018-05-17_21:35:53:331- Client disconnected from broker
2018-05-17_21:35:54:683- Client disconnected from broker
2018-05-17_21:35:55:903- Client disconnected from broker
2018-05-17_21:35:57:543- Client disconnected from broker
2018-05-17_21:35:58:931- Client disconnected from broker
2018-05-17_21:36:00:139- Client disconnected from broker
2018-05-17_21:36:01:727- Client disconnected from broker
2018-05-17_21:36:03:071- Client disconnected from broker
2018-05-17_21:36:04:321- Client disconnected from broker
2018-05-17_21:36:05:919- Client disconnected from broker
2018-05-17_21:36:07:277- Client disconnected from broker
2018-05-17_21:36:08:491- Client disconnected from broker
2018-05-17_21:36:10:119- Client disconnected from broker
2018-05-17_21:36:11:471- Client disconnected from broker
2018-05-17_21:36:12:717- Client disconnected from broker
2018-05-17_21:36:14:285- Client disconnected from broker
2018-05-17_21:36:15:651- Client disconnected from broker
2018-05-17_21:36:16:899- Client disconnected from broker
2018-05-17_21:36:18:487- Client disconnected from broker
2018-05-17_21:36:19:847- Client disconnected from broker
2018-05-17_21:36:21:091- Client disconnected from broker
2018-05-17_21:36:22:664- Client disconnected from broker
2018-05-17_21:36:24:039- Client disconnected from broker
2018-05-17_21:36:25:311- Client disconnected from broker
2018-05-17_21:36:26:827- Client disconnected from broker
2018-05-17_21:36:28:227- Client disconnected from broker
2018-05-17_21:36:29:491- Client disconnected from broker
2018-05-17_21:36:31:007- Client disconnected from broker
2018-05-17_21:36:32:447- Client disconnected from broker
2018-05-17_21:36:33:671- Client disconnected from broker
2018-05-17_21:36:35:235- Client disconnected from broker
2018-05-17_21:36:36:623- Client disconnected from broker
2018-05-17_21:36:37:903- Client disconnected from broker
2018-05-17_21:36:39:471- Client disconnected from broker
2018-05-17_21:36:40:859- Client disconnected from broker
2018-05-17_21:36:42:095- Client disconnected from broker
2018-05-17_21:36:43:637- Client disconnected from broker
2018-05-17_21:36:45:043- Client disconnected from broker
2018-05-17_21:36:46:251- Client disconnected from broker
2018-05-17_21:36:47:843- Client disconnected from broker
2018-05-17_21:36:49:195- Client disconnected from broker
2018-05-17_21:36:50:411- Client disconnected from broker
2018-05-17_21:36:52:019- Client disconnected from broker
2018-05-17_21:36:53:391- Client disconnected from broker
2018-05-17_21:36:54:603- Client disconnected from broker
2018-05-17_21:36:56:251- Client disconnected from broker
2018-05-17_21:36:57:627- Client disconnected from broker
2018-05-17_21:36:58:811- Client disconnected from broker
2018-05-17_21:37:00:455- Client disconnected from broker
2018-05-17_21:37:01:855- Client disconnected from broker
2018-05-17_21:37:03:055- Client disconnected from broker
2018-05-17_21:37:04:687- Client disconnected from broker
2018-05-17_21:37:06:043- Client disconnected from broker
2018-05-17_21:37:07:247- Client disconnected from broker
2018-05-17_21:37:08:865- Client disconnected from broker
2018-05-17_21:37:10:239- Client disconnected from broker
2018-05-17_21:37:11:431- Client disconnected from broker
2018-05-17_21:37:13:050- Client disconnected from broker
2018-05-17_21:37:14:451- Client disconnected from broker
2018-05-17_21:37:15:597- Client disconnected from broker
2018-05-17_21:37:17:263- Client disconnected from broker
2018-05-17_21:37:18:657- Client disconnected from broker
2018-05-17_21:37:19:790- Client disconnected from broker
2018-05-17_21:37:21:467- Client disconnected from broker
2018-05-17_21:37:22:853- Client disconnected from broker
2018-05-17_21:37:23:971- Client disconnected from broker
2018-05-17_21:37:25:667- Client disconnected from broker
2018-05-17_21:37:27:047- Client disconnected from broker
2018-05-17_21:37:28:187- Client disconnected from broker
2018-05-17_21:37:29:827- Client disconnected from broker
2018-05-17_21:37:31:271- Client disconnected from broker
2018-05-17_21:37:32:367- Client disconnected from broker
2018-05-17_21:37:34:011- Client disconnected from broker
2018-05-17_21:37:35:499- Client disconnected from broker
2018-05-17_21:37:36:591- Client disconnected from broker
2018-05-17_21:37:38:179- Client disconnected from broker
2018-05-17_21:37:39:707- Client disconnected from broker
2018-05-17_21:37:40:823- Client disconnected from broker
2018-05-17_21:37:42:375- Client disconnected from broker
2018-05-17_21:37:43:899- Client disconnected from broker
2018-05-17_21:37:45:007- Client disconnected from broker
2018-05-17_21:37:46:559- Client disconnected from broker
2018-05-17_21:37:48:107- Client disconnected from broker
2018-05-17_21:37:49:187- Client disconnected from broker
2018-05-17_21:37:50:763- Client disconnected from broker
2018-05-17_21:37:52:311- Client disconnected from broker
2018-05-17_21:37:53:375- Client disconnected from broker
2018-05-17_21:37:54:427- Client disconnected from broker
2018-05-17_21:37:55:475- Client disconnected from broker
2018-05-17_21:37:56:519- Client disconnected from broker
2018-05-17_21:37:58:083- Client disconnected from broker
2018-05-17_21:37:59:639- Client disconnected from broker
2018-05-17_21:38:00:719- Client disconnected from broker
2018-05-17_21:38:02:307- Client disconnected from broker
2018-05-17_21:38:03:863- Client disconnected from broker
2018-05-17_21:38:05:451- Client disconnected from broker
2018-05-17_21:38:07:019- Client disconnected from broker
2018-05-17_21:38:08:102- Client disconnected from broker
2018-05-17_21:38:09:619- Client disconnected from broker
2018-05-17_21:38:11:183- Client disconnected from broker
