2018-05-17_21:22:54:728- Subscribing to topicmqtt-roundtrip-qos1-10MByte-10-cycles
2018-05-17_21:22:54:729- subscribe returned (0, 1)
2018-05-17_21:23:24:868- Client disconnected from broker
2018-05-17_21:23:26:896- Client disconnected from broker
2018-05-17_21:23:28:934- Client disconnected from broker
2018-05-17_21:23:30:971- Client disconnected from broker
2018-05-17_21:23:33:006- Client disconnected from broker
2018-05-17_21:23:35:065- Client disconnected from broker
2018-05-17_21:23:37:108- Client disconnected from broker
2018-05-17_21:23:39:231- Client disconnected from broker
2018-05-17_21:23:41:288- Client disconnected from broker
