2018-05-17_21:27:36:712- Subscribing to topicmqtt-roundtrip-qos2-10MByte-100-cycles
2018-05-17_21:27:36:712- subscribe returned (4, None)
2018-05-17_21:27:37:855- Client disconnected from broker
2018-05-17_21:27:38:929- Client disconnected from broker
2018-05-17_21:27:39:951- Client disconnected from broker
2018-05-17_21:27:41:979- Client disconnected from broker
2018-05-17_21:27:43:015- Client disconnected from broker
2018-05-17_21:27:45:068- Client disconnected from broker
2018-05-17_21:27:46:149- Client disconnected from broker
2018-05-17_21:27:47:932- Client disconnected from broker
