2018-05-17_21:27:50:549- Subscribing to topicmqtt-roundtrip-qos2-10MByte-1000-cycles
2018-05-17_21:27:50:549- subscribe returned (4, None)
2018-05-17_21:27:51:575- Client disconnected from broker
2018-05-17_21:27:54:060- Client disconnected from broker
2018-05-17_21:27:57:862- Client disconnected from broker
2018-05-17_21:28:00:071- Client disconnected from broker
2018-05-17_21:28:01:154- Client disconnected from broker
2018-05-17_21:28:05:103- Client disconnected from broker
2018-05-17_21:28:06:223- Client disconnected from broker
2018-05-17_21:28:07:382- Client disconnected from broker
2018-05-17_21:28:10:304- Client disconnected from broker
2018-05-17_21:28:11:547- Client disconnected from broker
2018-05-17_21:28:13:375- Client disconnected from broker
2018-05-17_21:28:14:620- Client disconnected from broker
2018-05-17_21:28:16:407- Client disconnected from broker
2018-05-17_21:28:17:579- Client disconnected from broker
2018-05-17_21:28:18:703- Client disconnected from broker
2018-05-17_21:28:20:539- Client disconnected from broker
2018-05-17_21:28:21:655- Client disconnected from broker
2018-05-17_21:28:22:713- Client disconnected from broker
2018-05-17_21:28:24:623- Client disconnected from broker
2018-05-17_21:28:25:779- Client disconnected from broker
2018-05-17_21:28:27:018- Client disconnected from broker
2018-05-17_21:28:28:747- Client disconnected from broker
2018-05-17_21:28:29:875- Client disconnected from broker
2018-05-17_21:28:31:813- Client disconnected from broker
2018-05-17_21:28:32:971- Client disconnected from broker
2018-05-17_21:28:34:215- Client disconnected from broker
2018-05-17_21:28:35:951- Client disconnected from broker
2018-05-17_21:28:37:049- Client disconnected from broker
2018-05-17_21:28:38:287- Client disconnected from broker
2018-05-17_21:28:39:395- Client disconnected from broker
2018-05-17_21:28:41:191- Client disconnected from broker
2018-05-17_21:28:42:404- Client disconnected from broker
2018-05-17_21:28:43:503- Client disconnected from broker
2018-05-17_21:28:44:867- Client disconnected from broker
2018-05-17_21:28:46:519- Client disconnected from broker
2018-05-17_21:28:47:580- Client disconnected from broker
2018-05-17_21:28:48:964- Client disconnected from broker
2018-05-17_21:28:50:591- Client disconnected from broker
2018-05-17_21:28:51:745- Client disconnected from broker
2018-05-17_21:28:53:087- Client disconnected from broker
2018-05-17_21:28:54:152- Client disconnected from broker
2018-05-17_21:28:55:879- Client disconnected from broker
2018-05-17_21:28:57:203- Client disconnected from broker
2018-05-17_21:28:58:227- Client disconnected from broker
2018-05-17_21:28:59:723- Client disconnected from broker
2018-05-17_21:29:01:275- Client disconnected from broker
2018-05-17_21:29:02:776- Client disconnected from broker
2018-05-17_21:29:03:803- Client disconnected from broker
2018-05-17_21:29:05:351- Client disconnected from broker
2018-05-17_21:29:06:875- Client disconnected from broker
2018-05-17_21:29:08:435- Client disconnected from broker
2018-05-17_21:29:09:915- Client disconnected from broker
2018-05-17_21:29:10:966- Client disconnected from broker
2018-05-17_21:29:12:531- Client disconnected from broker
2018-05-17_21:29:14:019- Client disconnected from broker
2018-05-17_21:29:15:099- Client disconnected from broker
2018-05-17_21:29:16:299- Client disconnected from broker
2018-05-17_21:29:18:095- Client disconnected from broker
2018-05-17_21:29:19:247- Client disconnected from broker
2018-05-17_21:29:20:387- Client disconnected from broker
2018-05-17_21:29:22:179- Client disconnected from broker
2018-05-17_21:29:23:375- Client disconnected from broker
2018-05-17_21:29:25:259- Client disconnected from broker
2018-05-17_21:29:26:435- Client disconnected from broker
2018-05-17_21:29:27:619- Client disconnected from broker
2018-05-17_21:29:29:375- Client disconnected from broker
2018-05-17_21:29:30:564- Client disconnected from broker
2018-05-17_21:29:31:731- Client disconnected from broker
2018-05-17_21:29:33:031- Client disconnected from broker
2018-05-17_21:29:34:663- Client disconnected from broker
2018-05-17_21:29:35:854- Client disconnected from broker
2018-05-17_21:29:37:147- Client disconnected from broker
2018-05-17_21:29:38:787- Client disconnected from broker
2018-05-17_21:29:40:027- Client disconnected from broker
2018-05-17_21:29:41:255- Client disconnected from broker
2018-05-17_21:29:42:340- Client disconnected from broker
2018-05-17_21:29:44:119- Client disconnected from broker
2018-05-17_21:29:45:395- Client disconnected from broker
2018-05-17_21:29:46:437- Client disconnected from broker
2018-05-17_21:29:47:871- Client disconnected from broker
2018-05-17_21:29:49:483- Client disconnected from broker
2018-05-17_21:29:50:523- Client disconnected from broker
2018-05-17_21:29:51:543- Client disconnected from broker
2018-05-17_21:29:52:947- Client disconnected from broker
2018-05-17_21:29:54:611- Client disconnected from broker
2018-05-17_21:29:55:675- Client disconnected from broker
2018-05-17_21:29:57:050- Client disconnected from broker
2018-05-17_21:29:58:747- Client disconnected from broker
2018-05-17_21:30:00:088- Client disconnected from broker
2018-05-17_21:30:01:123- Client disconnected from broker
2018-05-17_21:30:02:829- Client disconnected from broker
2018-05-17_21:30:04:207- Client disconnected from broker
2018-05-17_21:30:05:883- Client disconnected from broker
2018-05-17_21:30:06:940- Client disconnected from broker
2018-05-17_21:30:08:308- Client disconnected from broker
2018-05-17_21:30:09:991- Client disconnected from broker
2018-05-17_21:30:11:027- Client disconnected from broker
2018-05-17_21:30:12:455- Client disconnected from broker
2018-05-17_21:30:14:095- Client disconnected from broker
2018-05-17_21:30:15:151- Client disconnected from broker
2018-05-17_21:30:16:525- Client disconnected from broker
2018-05-17_21:30:18:223- Client disconnected from broker
2018-05-17_21:30:19:574- Client disconnected from broker
2018-05-17_21:30:21:287- Client disconnected from broker
2018-05-17_21:30:22:379- Client disconnected from broker
2018-05-17_21:30:24:361- Client disconnected from broker
2018-05-17_21:30:25:443- Client disconnected from broker
2018-05-17_21:30:26:779- Client disconnected from broker
2018-05-17_21:30:28:495- Client disconnected from broker
2018-05-17_21:30:29:524- Client disconnected from broker
2018-05-17_21:30:30:875- Client disconnected from broker
2018-05-17_21:30:31:947- Client disconnected from broker
2018-05-17_21:30:33:615- Client disconnected from broker
2018-05-17_21:30:35:011- Client disconnected from broker
2018-05-17_21:30:36:031- Client disconnected from broker
2018-05-17_21:30:37:570- Client disconnected from broker
2018-05-17_21:30:39:088- Client disconnected from broker
2018-05-17_21:30:40:120- Client disconnected from broker
2018-05-17_21:30:41:451- Client disconnected from broker
2018-05-17_21:30:42:699- Client disconnected from broker
2018-05-17_21:30:44:235- Client disconnected from broker
2018-05-17_21:30:45:591- Client disconnected from broker
2018-05-17_21:30:46:867- Client disconnected from broker
2018-05-17_21:30:48:399- Client disconnected from broker
2018-05-17_21:30:49:775- Client disconnected from broker
2018-05-17_21:30:51:071- Client disconnected from broker
2018-05-17_21:30:52:351- Client disconnected from broker
2018-05-17_21:30:53:891- Client disconnected from broker
2018-05-17_21:30:55:175- Client disconnected from broker
2018-05-17_21:30:56:499- Client disconnected from broker
2018-05-17_21:30:58:083- Client disconnected from broker
2018-05-17_21:30:59:323- Client disconnected from broker
2018-05-17_21:31:00:671- Client disconnected from broker
2018-05-17_21:31:02:291- Client disconnected from broker
2018-05-17_21:31:03:531- Client disconnected from broker
2018-05-17_21:31:04:831- Client disconnected from broker
2018-05-17_21:31:06:471- Client disconnected from broker
2018-05-17_21:31:07:675- Client disconnected from broker
2018-05-17_21:31:08:995- Client disconnected from broker
2018-05-17_21:31:10:651- Client disconnected from broker
2018-05-17_21:31:11:851- Client disconnected from broker
2018-05-17_21:31:13:183- Client disconnected from broker
2018-05-17_21:31:14:827- Client disconnected from broker
2018-05-17_21:31:16:031- Client disconnected from broker
2018-05-17_21:31:17:363- Client disconnected from broker
2018-05-17_21:31:19:023- Client disconnected from broker
2018-05-17_21:31:20:235- Client disconnected from broker
2018-05-17_21:31:21:543- Client disconnected from broker
2018-05-17_21:31:23:207- Client disconnected from broker
2018-05-17_21:31:24:399- Client disconnected from broker
2018-05-17_21:31:25:727- Client disconnected from broker
2018-05-17_21:31:27:397- Client disconnected from broker
